number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,cummulative,text
9452-1,Dacta,,1991,Giant LEGO topic set,,2165.0,,,,,,set,False,2165.0,Giant LEGO topic set (9452-1)
9287-1,Education,Town,1996,Bonus Lego Basic Town,11.0,2456.0,,511.29,,,,set,False,2456.0,Bonus Lego Basic Town (9287-1)
3450-1,Creator Expert,Sculptures,2000,Statue of Liberty,,2882.0,199.0,200.0,793.69,2000-11-15,2002-12-31,set,False,2882.0,Statue of Liberty (3450-1)
10030-1,Star Wars,Ultimate Collector Series,2002,Imperial Star Destroyer,,3096.0,269.99,1471.58,535.0,2002-06-12,2007-12-31,set,False,3096.0,Imperial Star Destroyer (10030-1)
10143-1,Star Wars,Ultimate Collector Series,2005,Death Star II,,3441.0,269.99,2449.0,1206.66,2005-01-09,2007-12-31,set,False,3441.0,Death Star II (10143-1)
10179-1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5.0,5197.0,499.99,2396.91,1030.79,2007-01-10,2009-12-31,set,False,5197.0,Ultimate Collector's Millennium Falcon (10179-1)
10189-1,Creator Expert,Buildings,2008,Taj Mahal,,5922.0,299.99,750.0,342.63,2008-01-10,2010-12-31,set,False,5922.0,Taj Mahal (10189-1)
75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8.0,7541.0,799.99,734.32,677.01,2017-01-10,2023-12-31,set,False,7541.0,Millennium Falcon (75192-1)
10276-1,Creator Expert,Buildings,2020,Colosseum,,9036.0,549.99,566.1,431.41,2020-11-27,2023-12-31,set,False,9036.0,Colosseum (10276-1)
31203-1,Art,Miscellaneous,2021,World Map,,11695.0,249.99,253.6,,2021-01-06,2023-12-31,set,False,11695.0,World Map (31203-1)
