year,number,theme,subtheme,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan
1991,142,15,26,141,11,91,43,95,93,0,0,1,1
1992,107,11,28,103,8,76,40,76,79,0,0,1,1
1993,151,13,31,148,10,104,50,115,101,0,0,1,1
1994,143,13,27,135,8,93,49,94,97,0,0,1,1
1995,163,18,34,148,9,111,50,109,97,0,0,1,1
1996,200,20,28,192,11,120,63,146,130,8,7,1,1
1997,246,20,33,229,9,134,58,177,163,8,7,1,1
1998,372,22,48,344,9,192,68,249,235,12,6,1,1
1999,325,23,40,313,10,143,51,236,226,18,12,1,1
2000,323,21,40,313,9,135,47,236,195,14,11,1,1
2001,351,27,38,326,10,150,50,267,228,17,12,1,1
2002,372,30,46,345,13,170,55,281,235,20,14,1,1
2003,342,27,50,329,10,179,57,253,227,24,18,1,1
2004,350,28,49,289,9,179,54,227,211,17,16,1,1
2005,343,24,44,295,14,192,72,233,219,13,14,1,1
2006,277,25,45,249,16,195,63,204,200,13,11,1,1
2007,254,24,49,240,15,192,41,206,195,10,7,1,1
2008,280,23,54,253,13,208,43,236,230,12,12,1,1
2009,296,24,55,282,12,213,51,245,247,12,13,1,1
2010,317,28,61,304,10,221,47,283,252,16,14,1,1
2011,343,29,62,330,13,228,46,307,293,15,15,1,1
2012,406,32,78,388,13,238,40,363,329,11,14,1,1
2013,428,33,83,419,12,277,49,381,329,14,18,1,1
2014,469,31,98,465,11,280,45,440,391,13,19,1,1
2015,539,35,105,529,16,304,40,500,415,15,16,1,1
2016,566,31,116,562,14,317,44,524,437,19,12,1,1
2017,553,30,110,530,15,328,52,509,437,17,13,1,1
2018,553,33,111,542,19,321,50,502,414,20,14,1,1
2019,509,32,99,499,14,316,42,473,356,21,11,1,1
2020,577,34,105,562,15,346,45,514,274,27,13,1,1
2021,606,33,120,592,14,378,49,516,154,21,10,1,1
