year,count,mean,std,min,25%,50%,75%,max
1991,142.0,130.44366197183098,251.15084119004356,1.0,13.25,38.5,137.25,2165.0
1992,107.0,122.14018691588785,165.31076786933647,1.0,23.5,48.0,164.0,954.0
1993,151.0,124.64900662251655,177.40887609044057,1.0,21.5,43.0,156.5,912.0
1994,143.0,126.2867132867133,218.767920710691,2.0,19.0,45.0,139.0,1343.0
1995,163.0,148.19018404907976,226.76126980438974,1.0,20.0,47.0,194.0,1733.0
1996,200.0,157.28,290.04096331727015,1.0,20.75,55.5,175.25,2456.0
1997,246.0,117.03658536585365,192.37440822979045,1.0,13.25,41.5,135.25,1417.0
1998,372.0,147.33870967741936,224.64888040645195,1.0,19.0,50.0,174.0,1615.0
1999,325.0,98.1076923076923,173.5973703964061,1.0,17.0,30.0,89.0,1437.0
2000,322.0,114.71428571428571,275.72309755306054,1.0,23.0,44.0,100.0,2882.0
2001,351.0,113.68091168091168,241.74774492733573,1.0,9.5,29.0,106.0,1868.0
2002,372.0,131.06451612903226,252.42362914121537,1.0,10.75,41.0,136.5,3096.0
2003,341.0,172.63049853372434,248.22360319830733,1.0,25.0,70.0,196.0,1457.0
2004,349.0,170.73925501432666,268.38157597426823,1.0,32.0,67.0,179.0,2000.0
2005,343.0,222.6122448979592,376.4511937198936,2.0,36.5,87.0,260.0,3441.0
2006,276.0,288.59057971014494,359.44519236030334,1.0,42.0,127.0,431.5,2000.0
2007,253.0,344.0671936758893,526.3124858567205,1.0,47.0,162.0,481.0,5197.0
2008,280.0,331.4392857142857,541.6624978097876,1.0,52.0,132.0,464.5,5922.0
2009,296.0,283.2060810810811,393.96078454524536,1.0,45.0,131.5,378.75,3263.0
2010,317.0,300.1640378548896,502.37717646884465,1.0,34.0,119.0,370.0,4900.0
2011,343.0,262.31486880466474,398.64450883888395,1.0,37.5,99.0,306.5,3152.0
2012,406.0,242.77586206896552,355.9601122176412,1.0,37.0,87.0,298.0,2766.0
2013,427.0,274.76580796252927,420.84213186766453,1.0,40.0,113.0,328.0,2989.0
2014,469.0,276.7014925373134,402.4026086158544,1.0,49.0,113.0,336.0,3296.0
2015,539.0,258.69016697588125,385.70575311840213,1.0,45.0,102.0,302.0,2996.0
2016,566.0,281.23674911660777,537.9556784645413,1.0,43.0,94.5,299.25,4634.0
2017,551.0,320.7622504537205,626.7479816188401,1.0,47.0,124.0,348.5,7541.0
2018,553.0,289.7649186256781,530.8099625814905,1.0,37.0,126.0,323.0,6020.0
2019,509.0,332.6385068762279,548.2755167740296,1.0,41.0,142.0,392.0,4784.0
2020,577.0,362.18024263431545,705.2044045370202,1.0,40.0,136.0,391.0,9036.0
2021,602.0,428.66611295681065,915.2975147897031,1.0,44.0,150.0,451.0,11695.0
